"part","uk_qty","de_qty"
"11-221358","0","0"
"11-221359","0","0"
"11-221387","0","0"
"11-221610","0","0"
"11-221677","0","0"
"11-221678","0","0"
"11-221680","0","0"
"11-221688","0","0"
"11-221738","0","0"
"11-221777","0","0"
"11-221778","0","0"
"11-221779","0","0"
"11-221784","0","0"
"11-221785","0","0"
"11-221786","0","0"
"11-221788","0","0"
"11-221912","0","0"
"11-226002","0","0"
"11-226003","0","0"
"11-230720","0","0"
"11-231306","0","0"
"11-231320","0","0"
"11-231323","0","0"
"11-231326","0","0"
"11-231327","0","0"
"11-231335","0","0"
"11-231343","0","0"
"11-231344","0","0"
"11-231345","0","0"
"11-231346","0","0"
"11-231347","0","0"
"11-231390","0","0"
"11-231392","0","0"
"11-231393","0","0"
"11-231394","0","0"
"11-231395","0","0"
"11-231396","0","0"
"11-231416","0","0"
"11-231419","0","0"
"11-231437","0","0"
"11-231453","0","0"
"11-231478","0","0"
"11-231479","0","0"
"11-231626","0","0"
"11-231634","0","0"
"11-231635","0","0"
"11-231636","0","0"
"11-231637","0","0"
"11-231682","0","0"
"11-231782","0","0"
"11-251315","0","0"
"11-251319","0","0"
"11-251406","0","0"
"11-251654","0","0"
"11-251655","0","0"
"11-251656","0","0"
"11-251657","0","0"
"11-251661","0","0"
"11-251662","0","0"
"11-251715","0","0"
"11-251716","0","0"
"11-251717","0","0"
"11-260300","0","0"
"11-260301","0","0"
"11-260303","0","0"
"11-260304","0","0"
"11-260306","0","0"
"11-260307","0","0"
"11-260308","0","0"
"11-260309","0","0"
"11-260310","0","0"
"11-260311","0","0"
"11-260312","0","0"
"11-260313","0","0"
"11-270866","0","0"
"11-271336","0","0"
"11-271339","0","0"
"11-271340","0","0"
"11-271397","0","0"
"11-271398","0","0"
"11-271399","0","0"
"11-271400","0","0"
"11-271401","0","0"
"11-271402","0","0"
"11-271424","0","0"
"11-271445","0","0"
"11-271482","0","0"
"11-271600","0","0"
"11-271605","0","0"
"11-271607","0","0"
"11-271608","0","0"
"11-271609","0","0"
"11-271611","0","0"
"11-271612","0","0"
"11-271613","0","0"
"11-271640","0","0"
"11-271641","0","0"
"11-271645","0","0"
"11-271646","0","0"
"11-271648","0","0"
"11-271649","0","0"
"11-271650","0","0"
"11-271651","0","0"
"11-271652","0","0"
"11-271653","0","0"
"11-271695","0","0"
"11-271697","0","0"
"11-271698","0","0"
"11-271699","0","0"
"11-271731","0","0"
"11-271793","0","0"
"11-271794","0","0"
"11-271795","0","0"
"11-286004","0","0"
"11-291307","0","0"
"11-291349","0","0"
"11-291372","0","0"
"11-291373","0","0"
"11-291374","0","0"
"11-291379","0","0"
"11-291382","0","0"
"11-291383","0","0"
"11-291388","0","0"
"11-291426","0","0"
"11-291428","0","0"
"11-291429","0","0"
"11-291430","0","0"
"11-291446","0","0"
"11-291447","0","0"
"11-291448","0","0"
"11-291460","0","0"
"11-291461","0","0"
"11-291462","0","0"
"11-291463","0","0"
"11-291464","0","0"
"11-291465","0","0"
"11-291494","0","0"
"11-291902","0","0"
"11-291904","0","0"
